Module,Test Case,Test Steps,Expected Result,Sabah,Sabah Remarks,Amna,Amna's Remarks,Tahira,,Saman,Shahid,Ahsan,Alina,Atika,
Feedback App,Login,Enter phone number and PIN,User logs in successfully,Pass,Location is unavailable ,Pass,,Pass,,,,,,,
Feedback App,School Type,Select school type and level,Subjects auto-load correctly,Pass,,Pass,,Pass,,,,,,,
Feedback App,Attendance Validation,Enter attendance numbers,Green bar for balanced numbers,Pass,,Fail,Didn't give warning,Pass,,,,,,,Attendance: No data available. Only one student could be added.
Feedback App,Technology & Assembly,Toggle LMS/Technology/Assembly,Selections saved correctly,Fail,"This toggle wasn't present in the list.Couldnt locate it ONLINE ,only available in offline mode",Pass,,Pass,,,,,,,
Feedback App,Subjects Entry,Fill lesson details,All subject fields accept input,Fail,Available only in offline mode,Pass,,Pass,Page # field not required.Unit # restriction can be added.,,,,,,
Feedback App,Photo Upload,Take/upload photo,Photo uploads successfully,Pass,,Pass,Take photo option is applicable for online mode,Pass,,,,,,,
Feedback App,Offline Mode,Submit form in airplane mode,Data saves offline and syncs later,Pass,,Not Executed,,Pass,,,,,,,
Attendance App,Login,Enter credentials,User logs in successfully,Pass,,Pass,,Pass,,,,,,,
Attendance App,Load Students,Select date and load students,Student list appears,Fail,Only one student is being uploaded at one time,Fail,Only one student is being added at one time. List did not appear.,Fail,,,,,,,
Attendance App,Mark Attendance,Mark Present/Absent/Leave,Status colors update correctly,Pass,,Pass,,,,,,,,,
Attendance App,Quick Mark,Use 'All Present' option,All students marked present,Fail,Only one student is being uploaded at one time,Not Executed,"Not checked as 1 student was added only due to issue mentioned in 10H
Student-Admin : On Load Students, No Students found for school code: Chak#112DNB_O_W24P (Error showing)",,,,,,,,
Attendance App,Submit Attendance,Submit attendance,GPS captured successfully,Fail,Didnt appear although location was on,Not Executed,Didnt appear although location was on,,,,,,,,
Attendance App,Offline Mode,Submit while offline,Attendance syncs when online,Pass,,Fail,Error: ,,,,,,,,
Assessment App,Generate PIN,Coordinator generates PIN,PIN generated successfully,Fail,When logged in with my credentials shared by Sir in the document it was invalid,,,,,,,,,,
Assessment App,Student Login,Enter PIN and student name,Assessment starts correctly,Fail,When logged in with my credentials shared by Sir in the document it was invalid,,,,,,,,,,
Assessment App,MCQ Attempt,Answer MCQs,Correct answers highlighted,Fail,When logged in with my credentials shared by Sir in the document it was invalid,,,,,,,,,,
Assessment App,Assessment Completion,Complete all subjects,Score displayed successfully,Fail,When logged in with my credentials shared by Sir in the document it was invalid,,,,,,,,,,
Assessment App,Offline Assessment,Attempt assessment offline,Results sync after internet restored,Fail,When logged in with my credentials shared by Sir in the document it was invalid,,,,,,,,,,
Video Lessons,Load Videos,Load MP4 files,Videos load successfully,Pass,,Pass,"Location is unavailable.
On second time, location was showing",Pass,,,,,,,
Video Lessons,Filter Videos,Use subject/unit filters,Correct videos displayed,Pass,,Fail,Videos not showing,Fail,relevant content couldnt appear,,,,,,
Video Lessons,Play Video,Play lesson video,Video plays correctly,Pass,,Pass,,Pass,,,,,,,
Video Lessons,Skip Block,Try to fast-forward video,Fast-forward blocked,Pass,,Fail,No warning showing,,,,,,,,
Video Lessons,Completion Log,Watch full video,Completion logged successfully,Pass,,Pass,,Pass,,,,,,,
Video Lessons,Offline Mode,Play videos offline,Videos work and logs sync later,Fail,Need internet ,Fail,No GPS with video log,Pass,,,,,,,
